name,brand,notes,description,image_url,label,source_url,image_path
Cherry Ink,Lorenzo Pazzaglia,"Cherry, Bergamot, Black Pepper, Rum Accord, Sour Cherry, Red Wine, Damask Rose, Jasmine, Lily-of-the-Valley, Mimosa, Warm Spices, Ink, Myrrh, Vanilla Bean, Tonka Bean, Precious Woods, Patchouli, Benzoin, Amber, Musk, Agarwood","An extraordinary, avant-garde cherry fragrance, whose key note, along with its sister scent, sour cherry, is interlaced with the unusual note of ink, breathing life into something seductive, deep, dark and meditative. The boozy counterpart of rum and red wine lends instant warmth to the fruity notes, leading right up to the amber and woody grand finale.",https://cdn.shopify.com/s/files/1/0765/6138/3745/files/965008.jpg?v=1754966667&width=100&height=144&crop=center,Amber_Oriental,https://www.luckyscent.com/products/cherry-ink-by-lorenzo-pazzaglia,perfume_images\scraped_cherry-ink-by-lorenzo-pazzaglia.jpg
Van Extasyx,Lorenzo Pazzaglia,"Bourbon Vanilla, Madagascar Vanilla, Tahitian Vanilla, Black Vanilla Husk, Vanilla Islands Vanilla, White Flowers, Caramel, Agarwood, Pure Vanilla Pod, Tonka","Seven sweet maidens dance gleefully, mischievous thoughts dangling in their hair plaited with white flowers, caramel gliding by. Tempting, coaxing notes permeate the air. Another vanilla masterpiece that only a chef like Lorenzo Pazzaglia could create.",https://cdn.shopify.com/s/files/1/0765/6138/3745/files/965007_dd44d5da-e2c3-4f6c-900d-5eeea5f36963.jpg?v=1754966697&width=100&height=144&crop=center,Amber_Oriental,https://www.luckyscent.com/products/van-extasyx-by-lorenzo-pazzaglia,perfume_images\scraped_van-extasyx-by-lorenzo-pazzaglia.jpg
Van Py Rhum,Lorenzo Pazzaglia,"Vanilla, Bourbon Vanilla, Madagascar Vanilla, Tonka, Tahitian Vanilla, Mohea Vanilla, Rum, Vanilla Islands Vanilla, White Flowers, Caramel, Patchouli, Agarwood, Indonesian Patchouli, Oak Barrel Rum, Black Vanilla Husk","Drops of rum glide over a bed of soft vanilla. This mellow music is one of shadowy Patchouli dancing, white flowers all around, in a sigh that tells a story of warm elegance. Vanilla lovers, rejoice- this smooth, boozy vanilla uses an impressive blend of the world's finest vanillas to create an impossibly well-rounded, simply stunning fragrance showcasing every aspect of this beloved ingredient.",https://cdn.shopify.com/s/files/1/0765/6138/3745/files/965006.jpg?v=1754966699&width=100&height=144&crop=center,Amber_Oriental,https://www.luckyscent.com/products/van-py-rhum-by-lorenzo-pazzaglia,perfume_images\scraped_van-py-rhum-by-lorenzo-pazzaglia.jpg
Pax,Lorenzo Pazzaglia,"Citrus, Pear, Passionfruit, Black Grape, Pepper, Magnolia, Jasmine, Cardamom, Cassis Leaf, Cassis Bud, Incense, Amber, Vanilla, White Musk, Agarwood","Pax is an olfactory self-portrait used by Lorenzo Pazzaglia to show his true self, his culinary art and personality. Juxtaposed, contrasting notes piece together the myriad sides of a multifaceted person. The sparkling, cordial opening of citrus and pepper paves the way to a heart of fruity notes whose sweetness is tempered by a crystalline incense. Precious woods and leather provide an unexpected backdrop for a bouquet of white flowers with fruity and spicy nuances. Every note, every raw ingredient used, is a hidden symbol, but also a key.",https://cdn.shopify.com/s/files/1/0765/6138/3745/files/965005.jpg?v=1754966700&width=100&height=144&crop=center,Amber_Oriental,https://www.luckyscent.com/products/pax-by-lorenzo-pazzaglia,perfume_images\scraped_pax-by-lorenzo-pazzaglia.jpg
Carbonara,Lorenzo Pazzaglia,"Pink Pepper, Black Pepper, Elemi Resin, Coconut, Smoke, Malabar Pepper, Jasmine, Davana, Rum, Amber, Cane Sugar, Bourbon Vanilla, Agarwood, Sandalwood","Carbonara is a symbolic tribute to chef Lorenzo Pazzagliaâs signature dish. The expert blend of spices and exotic notes fires the wearerâs imagination. Fruity Coconut and Davana blend to become one in the amber sweetness of cane sugar and bourbon vanilla. Sandalwood lends a soft, creamy quality, while oud gives an unexpected twist. Carbonara- the perfect recipe for a fragrance to wow even the most expecting critic.",https://cdn.shopify.com/s/files/1/0765/6138/3745/files/965004.jpg?v=1754966701&width=100&height=144&crop=center,Spicy,https://www.luckyscent.com/products/carbonara-by-lorenzo-pazzaglia,perfume_images\scraped_carbonara-by-lorenzo-pazzaglia.jpg
